Client Name,Plan Number,Fee Type,Gross Amount,Payment Date,Platform
"Catherine Ward","AE-10019","Ongoing Adviser Charge",548.22,2026-04-21,"Aegon"
"Alexandra Sutton","FI-10002","Ongoing Adviser Charge",155.15,2026-04-23,"Fidelity"
"Christopher Sutton","TR-10001","Trail Commission",478.45,2026-04-21,"Transact"
"Rosalind Blackwood","TR-10036","Ongoing Adviser Charge",504.94,2026-04-25,"Transact"
"Victoria Goodwin","AJ-10003","Trail Commission",594.7,2026-04-22,"AJ Bell"
"Frederick Ashworth","TR-10006","Trail Commission",693,2026-04-24,"Transact"
"James Fowler","TR-10051","Initial Adviser Charge",996.27,2026-04-21,"Transact"
"A. Sinclair","QU-999002","Ongoing Adviser Charge",489.67,2026-04-25,"Quilter"
"Timothy Goodwin","AE-10029","Initial Adviser Charge",842.67,2026-04-23,"Aegon"
"Sarah Fernsby","AE-10004","Trail Commission",643.81,2026-04-22,"Aegon"
"Michael Ellison","AJ-10023","Trail Commission",246.36,2026-04-21,"AJ Bell"
"Jennifer Sutton","FI-10052","Adviser Charge - Annual Review",637.81,2026-04-21,"Fidelity"
"Mark Dixon","AJ-10013","Initial Adviser Charge",540.85,2026-04-21,"AJ Bell"
"Penelope Griffiths","FI-10022","Ongoing Adviser Charge",400.27,2026-04-22,"Fidelity"
"Isabella Ellison","FI-10042","Adviser Charge - Annual Review",972.95,2026-04-25,"Fidelity"
"Whitmore & Sons Ltd","AE-999008","Trail Commission",537.5,2026-04-25,"Quilter"
"Alexander Patel","AE-10009","Adviser Charge - Annual Review",333.4,2026-04-24,"Aegon"
"Susan Sinclair","AJ-10038","Trail Commission",640.55,2026-04-22,"AJ Bell"
"Sarah Ingram","QU-10015","Trail Commission",149.67,2026-04-21,"Quilter"
"Patricia Garside","QU-10035","Adviser Charge - Annual Review",846.31,2026-04-21,"Quilter"
"Victoria Fitzgerald","AJ-10023","Initial Adviser Charge",806.21,2026-04-21,"AJ Bell"
"Sarah Forsythe","AJ-10048","Initial Adviser Charge",714.66,2026-04-24,"AJ Bell"
"Harriet Moorfield","AE-10004","Ongoing Adviser Charge",778.17,2026-04-23,"Aegon"
"Sarah Holt","QU-10035","Initial Adviser Charge",454.85,2026-04-24,"Quilter"
"James Drummond","QU-10010","Initial Adviser Charge",937,2026-04-21,"Quilter"
"Natalie Thornton","QU-10020","Trail Commission",162.88,2026-04-24,"Quilter"
"Josephine Whitmore","QU-10040","Ongoing Adviser Charge",304.34,2026-04-23,"Quilter"
"Benjamin Forsythe","FI-10017","Initial Adviser Charge",708.15,2026-04-25,"Fidelity"
"Frederick Garside","AJ-10058","Trail Commission",155.81,2026-04-23,"AJ Bell"
"Frederick Hayward","QU-10020","Adviser Charge - Annual Review",611.78,2026-04-22,"Quilter"
"Diana Patel","TR-10011","Adviser Charge - Annual Review",258.46,2026-04-23,"Transact"
"Helen Tanner","AJ-10028","Ongoing Adviser Charge",332.44,2026-04-24,"AJ Bell"
"Michael Fernsby","TR-10006","Trail Commission",793.96,2026-04-22,"Transact"
"Susan Whitfield","AE-10024","Initial Adviser Charge",408.63,2026-04-23,"Aegon"
"Jonathan Morrison","FI-10012","Initial Adviser Charge",654.28,2026-04-24,"Fidelity"
"Diana Barlow","TR-10036","Trail Commission",461.27,2026-04-21,"Transact"
